ssvid,shipname_norm,imo,callsign,vessel_class,flag,length_m,tonnage_gt,engine_power,hours,fishing_hours,hours_HS,fishing_hours_HS,gfw_owner,gfw_owner_address,gfw_owner_flag,,owner,owner_source,corporate_actor,corporate_actor_source,main_company,main_company_flag,subsidiaries_and_affiliates,main_company_and_subsidiaries_source,remarks
440781000,DONGWON623,8905581,DSDR7,drifting_longlines,KOR,51.76,457.86,890.52,8054.21,4452.79,5771.79,3451.76,DONGWON FISHERIES,"824-24, YEOKSAM-DONG, KANGNAM-GU, SEOUL, KOREA",KOR,TRUE,"Dongwon Industries Co., Ltd.",WCPFC,"Dongwon Industries Co., Ltd.",http://fis.com/fis/companies/details.asp?l=e&company_id=158156,"Dongwon Enterprise Co., Ltd.",KOR,"Parent:  Dongwon Enterprise Co., Ltd. Subsidiaries: Dongbu Express Co., Ltd., Dongbu Gosok Corporation, Societe De Conserverie En Afrique Sa, Panapesca Fishing, Inc, Aju Logistics, StarKist Tuna  Subsidiaries to  Dongwon Enterprise Co., ltd.: Subsidiaries: Dongwon F&B Co., Ltd., Starkist Seafood Co. - Headquearters, Dongwon Home Food, Dongwon Industries Co., Ltd",google search and http://fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=155923,NA
224051350,BALUEIROSEGUNDO,8822404,EHPX,drifting_longlines,ESP,31,342,375.88,1077.98,67.01,358.71,66.91,CADILLA CASTRO JOAQUIN,CADILLA CASTRO JOAQUIN,ESP,TRUE,Cadilla C.B.,IATTC,Cadilla C.B.,http://www.hoovers.com/company-information/cs/company-profile.cadilla_castro_josefina.aecef9e5bfa271e2.html      https://panjiva.com/Cadilla-C-B/2251970,Pesquera Mariane SL,ESP,affiliated with ORPAGU Organizacion de Palangreros Guardeses   Main Company: Pesquera Mariane SL,https://www.orpagu.com/or-pa-gu/flota/  http://www.hoovers.com/company-information/cs/company-profile.pesquera_mariane_sl.3d9c988434ea418c.html  https://www.orpagu.com/or-pa-gu/flota/  http://www.hoovers.com/company-information/cs/company-profile.organizacion_de_productores_de_palangreros_guardeses.1c58d1fb8066b15f.html https://fis.com/fis/companies/details.asp?l=s&company_id=71825  https://www.orpagu.com/,"Address of Cadilla C.B. led to Pesquera Mariane SL, subsidiary for Pesquera Mariana does exist"
440944000,AGNES95,8510582,6NGW,drifting_longlines,KOR,50.81,541,891.9,8081.72,5037.72,5011.91,3577.2,AGNES FISHERIES,"RM.706 DORYUM BD.60 DORYUM-DONG, JONGRO-GU, SEOUL, KOREA",KOR,TRUE,"Agnes Fisheries Co., Ltd",IATTC,"Agnes Fisheries Co., Ltd",http://www.bizinkorea.org/VIEW/compi_viewgeneral.jsp?page_cd=20&page_gubun=1&bsnregno=MjAxODE0MjA2Nw%3D%3D&url=%2FINDUST%2Fcompi_2division.jsp&companyengnm=&srchCompNm=&srchGubun=&sectioncd_e=&indtypecd=03&detailSearch=true&pageNum=            http://www.hoovers.com/company-information/cs/company-profile.agnes_fisheries_co_ltd.57d1f953b34e8c75.html  https://www.bloomberg.com/profiles/companies/0185651D:KS-agnes-fisheries-co-ltd,"Agnes Fisheries Co., Ltd",KOR,NA,NA,NA
888366808,888366808,NA,NA,drifting_longlines,NA,28.9,274.21,574.51,4119.02,2255.62,4119.02,2255.62,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
345080030,ELDORADO,8129539,XCEU8,tuna_purse_seines,MEX,80.92,1793,3380.35,6922.36,1529.41,4090.4,1030.27,AZTECA PESCA,"PUERTO DE MAZATLAN 406, PARQUE IND ALFREDO V. BONFIL, 82050 MAZATLAN, SIN, MEXICO.",MEX,TRUE,"Pesca Azteca, S.A. de C. V.",IATTC,"Pesca Azteca, S.A. de C. V.",http://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&company=pesca%20azteca&page=1&company_id=42832&country_id=,PINSA - Pescados Industrializados S.A. de C.V.,MEX,"PINSA group: including PINSA, Pesca Azteca, Mazindustrial",https://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=55361  http://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&company=pesca%20azteca&page=1&company_id=42832&country_id=,PINSA GROUP is ranked among the most important American in the tuna industry
263405380,MARGHERITA,NA,CUOX6,drifting_longlines,PRT,18.2,87.36,224,5356.7,2596.12,2687.46,1617.91,SOCIEDADE DE PESCAS SOUSA MILHAZES,"RUA NOVA DA ALEGRIA, Nº 50",PRT,TRUE,CANNARELLA ANGELO,ICCAT,NA,NA,NA,NA,NA,NA,Nothing found on owner for vessel
416220700,YUMANFONG,NA,NA,drifting_longlines,TWN,29.06,132.78,521.34,2002.98,580.68,874.68,511.84,ZHUANG C J,"45-1, XINGYU STREET, DONGGANG TOWNSHIP, PINGTUNG COUNTY, CHINA, REPUBLIC OF (TAIWAN)",TWN,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
224782000,ALBACORA1,9127435,EAMB,tuna_purse_seines,ESP,105,3584,5338.36,858.98,80.34,200.43,80.34,ALBACORA,"RECINTO INTERIOR ZONA FRANCA EDIFICIO MELKART, 1º OFICINA 1- 2|CADIZ|11011|CADIZ",ESP,TRUE,ALBACORA SA,GFW,"Grupo Albacora, S.A.",http://fis.com/fis/companies/details.asp?l=e&company_id=156904  https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=47053958,"Grupo Albacora, S.A.",ESP,"Branches: Albacora, S.A. (Central Administrativa), Albacora Group (Central Pesquera)    Subsidiaries: Salica, Industria Alimentaria, S.A.     Shareholder/Associate at: OPAGAC - Organizacion de Productores Asociados de Grandes Atuneros Congeladores, FRIPUSA - Frigorificos Puebla, S.L.    Shareholder companies: Escuris, S.A.  Public Relations Agency: TYC -Torres y Cabrera-",https://www.fis.com/fis/companies/details.asp?l=e&company_id=156904,NA
576633000,FORTUNA1,8946846,YJRT2,drifting_longlines,VUT,46.5,499,888.6,8450.75,3192.6,6862.98,3179.47,FORTUNA FISHERIES,P.O.BOX 1640 PORT VILA. VANUATU (TEL.,VUT,TRUE,"FORTUNA FISHERY CO., LTD., LO SHIH CHIEH",WCPFC,FORTUNA FISHERY CO LTD,https://world-ships.net/company/592e96745a0b5dacc62121015c253da5#.XImaGZNKiCQ  https://www.iattc.org//VesselRegister/VesselDetails.aspx?VesNo=5729&Lang=en,FORTUNA FISHERY CO LTD,TWN,NA,NA,NA
416004775,GUOTONG3,9751418,BI2642,squid_jigger,TWN,72.8,885.64,1858.49,6303.29,1177.46,2546.8,502.89,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
