feature,absolute_held,relative_held
_area_km2,16659726.531728914,0.07526769709404156
bio_nspp,587.4903713892684,0.10000375409242859
bio_rls,692.2638436482297,0.10000249388645215
phys_seamounts,338.59999999999235,0.10010643330179529
phys_vents,3.999999999999999,0.09999999999999998
phys_scape1,1723,0.10000580416739219
phys_scape2,2573,0.10001554847236259
phys_scape3,1316,0.10004561350159648
phys_scape4,1643,0.10005480786797394
phys_scape5,929,0.10002153316106804
phys_scape6,233,0.10021505376344086
phys_scape7,39,0.10077519379844961
phys_scape8,112,0.10053859964093358
phys_scape9,140,0.10021474588403723
phys_scape10,9,0.75
phys_scape11,387,0.10007757951900698
